Genotype,Envir,Management,Row,Position,Flowering_end,R,P,Flowering_end_spats_residuals,Flowering_end_spats_geno_pred_values,Flowering_end_spats_adj_pheno
2971,ESP_2019_1,1,13,27,101,13,27,0.724260875582758,101.280609878291,102.004870753873
2971,ESP_2019_1,1,10,55,94,10,55,-5.7826401137484,101.280609878291,95.4979697645423
2971,ESP_2019_1,1,11,76,101,11,76,-0.0096976875142758,101.280609878291,101.270912190776
2971,ESP_2019_1,1,1,84,107,1,84,5.40963717906666,101.280609878291,106.690247057357
2974,ESP_2019_1,1,5,110,98,5,110,-3.91176148658793,100.48043976401,96.5686782774217
2974,ESP_2019_1,1,7,1,101,7,1,2.21539548698441,100.48043976401,102.695835250994
2975,ESP_2019_1,1,9,38,101,9,38,1.17077418360074,100.760684197684,101.931458381284
2975,ESP_2019_1,1,1,99,98,1,99,-2.52481432404551,100.760684197684,98.2358698736382
2979,ESP_2019_1,1,6,8,101,6,8,-0.0942431997468987,101.792014641307,101.69777144156
2980,ESP_2019_1,1,11,81,108,11,81,1.47210453489896,106.624946596775,108.097051131674
2980,ESP_2019_1,1,5,82,108,5,82,0.525882858271601,106.624946596775,107.150829455046
2980,ESP_2019_1,1,4,43,108,4,43,0.649208723603849,106.624946596775,107.274155320379
2980,ESP_2019_1,1,13,13,108,13,13,2.44599743680597,106.624946596775,109.070944033581
2980,ESP_2019_1,1,10,127,108,10,127,0.716115235995446,106.624946596775,107.34106183277
2990,ESP_2019_1,1,2,15,98,2,15,-4.83660270322365,102.183165258658,97.3465625554347
2990,ESP_2019_1,1,7,113,108,7,113,5.22016014839977,102.183165258658,107.403325407058
2992,ESP_2019_1,1,2,8,98,2,8,-0.397992866686494,97.7903893120103,97.3923964453238
2992,ESP_2019_1,1,7,76,93,7,76,-4.58433967323047,97.7903893120103,93.2060496387798
2997,ESP_2019_1,1,3,83,98,3,83,-1.66656370871173,99.1062953725467,97.439731663835
2997,ESP_2019_1,1,4,52,98,4,52,-1.70835537845574,99.1062953725467,97.397939994091
30,ESP_2019_1,1,13,51,101,13,51,-4.78316679779299,106.633577023436,101.850410225643
30,ESP_2019_1,1,7,30,108,7,30,1.78310957603053,106.633577023436,108.416686599466
30,ESP_2019_1,1,13,73,108,13,73,1.88394154231828,106.633577023436,108.517518565754
30,ESP_2019_1,1,9,61,101,9,61,-4.98617718749435,106.633577023436,101.647399835941
30,ESP_2019_1,1,13,119,108,13,119,2.18634072828289,106.633577023436,108.819917751718
30,ESP_2019_1,1,1,104,116,1,104,9.73580321869889,106.633577023436,116.369380242135
3010,ESP_2019_1,1,12,33,94,12,33,-3.48915412734758,98.5580125936939,95.0688584663464
3010,ESP_2019_1,1,4,87,108,4,87,8.37039756138839,98.5580125936939,106.928410155082
3010,ESP_2019_1,1,12,84,94,12,84,-4.65755716817156,98.5580125936939,93.9004554255224
3010,ESP_2019_1,1,3,7,98,3,7,-0.886442294608415,98.5580125936939,97.6715702990855
3010,ESP_2019_1,1,10,65,94,10,65,-3.38190472241939,98.5580125936939,95.1761078712746
3013,ESP_2019_1,1,3,117,116,3,117,10.4382482217416,104.475604227002,114.913852448743
3013,ESP_2019_1,1,2,26,98,2,26,-7.25441699728076,104.475604227002,97.2211872297211
3026,ESP_2019_1,1,7,11,101,7,11,-1.17381768874478,103.428980779619,102.255163090874
3026,ESP_2019_1,1,4,100,108,4,100,3.07917117095697,103.428980779619,106.508151950576
3042,ESP_2019_1,1,11,77,108,11,77,5.5954106356414,102.638455696319,108.233866331961
3042,ESP_2019_1,1,6,21,101,6,21,-1.72931297774684,102.638455696319,100.909142718572
3042,ESP_2019_1,1,10,61,94,10,61,-7.32738733079535,102.638455696319,95.3110683655238
3042,ESP_2019_1,1,13,1,94,13,1,-7.53528008413957,102.638455696319,95.1031756121795
3042,ESP_2019_1,1,6,107,116,6,107,11.936276304612,102.638455696319,114.574732000931
3062,ESP_2019_1,1,4,33,92,4,33,-8.80575795900207,99.9937500499682,91.1879920909662
3062,ESP_2019_1,1,1,78,107,1,78,6.51488782485075,99.9937500499682,106.508637874819
308,ESP_2019_1,1,5,125,108,5,125,4.95905754391907,102.108211733846,107.067269277765
308,ESP_2019_1,1,2,51,98,2,51,-4.66705777731013,102.108211733846,97.4411539565354
3148,ESP_2019_1,1,2,99,98,2,99,-4.28670523289956,102.306484621849,98.0197793889496
3148,ESP_2019_1,1,3,21,108,3,21,4.82090048522754,102.306484621849,107.127385107077
3160,ESP_2019_1,1,6,60,116,6,60,9.80134333185761,105.416044823464,115.217388155322
3160,ESP_2019_1,1,9,123,101,9,123,-5.46873947719193,105.416044823464,99.9473053462721
3170,ESP_2019_1,1,7,108,108,7,108,-0.245585003357803,107.757261029734,107.511676026376
3170,ESP_2019_1,1,2,29,116,2,29,7.43804530113296,107.757261029734,115.195306330867
3172,ESP_2019_1,1,13,78,94,13,78,-2.66784921356712,97.1324046180421,94.464555404475
3172,ESP_2019_1,1,3,68,92,3,68,-5.53694475928643,97.1324046180421,91.5954598587557
3172,ESP_2019_1,1,10,104,108,10,104,10.8226146007965,97.1324046180421,107.955019218839
3172,ESP_2019_1,1,1,21,92,1,21,-6.23551248969413,97.1324046180421,90.896892128348
3172,ESP_2019_1,1,13,36,94,13,36,-2.16838608257336,97.1324046180421,94.9640185354688
3190,ESP_2019_1,1,9,84,93,9,84,-4.58285388748705,97.967666097749,93.384812210262
3190,ESP_2019_1,1,5,23,98,5,23,-0.182930451306376,97.967666097749,97.7847356464426
32,ESP_2019_1,1,10,76,101,10,76,-0.981551965482424,102.79094018519,101.809388219708
32,ESP_2019_1,1,6,117,101,6,117,-3.1580030887872,102.79094018519,99.6329370964028
32,ESP_2019_1,1,12,9,101,12,9,-1.12235362712885,102.79094018519,101.668586558061
32,ESP_2019_1,1,13,106,101,13,106,-0.972001321416101,102.79094018519,101.818938863774
32,ESP_2019_1,1,7,44,108,7,44,5.2195981139439,102.79094018519,108.010538299134
32,ESP_2019_1,1,9,77,101,9,77,-1.28075714400522,102.79094018519,101.510183041185
32,ESP_2019_1,1,2,40,107,2,40,3.42103934660592,102.79094018519,106.211979531796
321,ESP_2019_1,1,4,107,98,4,107,-2.99139925139735,99.4202631792506,96.4288639278533
323,ESP_2019_1,1,13,17,108,13,17,2.36480215784462,106.689380327082,109.054182484927
323,ESP_2019_1,1,12,80,108,12,80,1.27860642263528,106.689380327082,107.967986749718
323,ESP_2019_1,1,7,18,108,7,18,2.24460768527004,106.689380327082,108.933988012352
324,ESP_2019_1,1,8,85,108,8,85,3.89609277789751,104.679467240763,108.575560018661
324,ESP_2019_1,1,2,39,107,2,39,1.52180084189654,104.679467240763,106.20126808266
324,ESP_2019_1,1,10,87,101,10,87,-3.22323339871872,104.679467240763,101.456233842045
324,ESP_2019_1,1,11,56,101,11,56,-2.56281213211014,104.679467240763,102.116655108653
324,ESP_2019_1,1,13,76,108,13,76,3.80100710511256,104.679467240763,108.480474345876
327,ESP_2019_1,1,11,107,101,11,107,2.38746921229794,98.3016127366932,100.689081948991
327,ESP_2019_1,1,10,57,94,10,57,-2.86270989973852,98.3016127366932,95.4389028369547
327,ESP_2019_1,1,11,42,94,11,42,-2.82138335626956,98.3016127366932,95.4802293804236
327,ESP_2019_1,1,2,92,98,2,92,-0.299889345129742,98.3016127366932,98.0017233915635
327,ESP_2019_1,1,5,61,98,5,61,-0.761346451361277,98.3016127366932,97.5402662853319
33,ESP_2019_1,1,3,95,98,3,95,-1.99656336359676,99.1388840172893,97.1423206536926
33,ESP_2019_1,1,3,4,98,3,4,-1.33854784705383,99.1388840172893,97.8003361702355
330,ESP_2019_1,1,3,76,108,3,76,2.98718550809352,104.581897887021,107.569083395114
330,ESP_2019_1,1,3,5,108,3,5,3.17533392626022,104.581897887021,107.757231813281
330,ESP_2019_1,1,13,60,101,13,60,-2.84884774165579,104.581897887021,101.733050145365
333,ESP_2019_1,1,2,121,108,2,121,4.07340517199691,103.857155139075,107.930560311072
333,ESP_2019_1,1,6,1,101,6,1,-1.64502558165121,103.857155139075,102.212129557423
334,ESP_2019_1,1,10,12,108,10,12,2.72292292429037,106.506788598708,109.229711522999
334,ESP_2019_1,1,10,74,108,10,74,2.3686489375779,106.506788598708,108.875437536286
334,ESP_2019_1,1,9,36,108,9,36,2.4552744333653,106.506788598708,108.962063032074
334,ESP_2019_1,1,1,11,107,1,11,-0.961700651657068,106.506788598708,105.545087947051
334,ESP_2019_1,1,11,74,101,11,74,-5.15815664929399,106.506788598708,101.348631949414
334,ESP_2019_1,1,12,18,108,12,18,2.32212851331684,106.506788598708,108.828917112025
334,ESP_2019_1,1,2,118,116,2,118,9.42391797062747,106.506788598708,115.930706569336
334,ESP_2019_1,1,11,52,101,11,52,-4.24525410630284,106.506788598708,102.261534492405
334,ESP_2019_1,1,11,82,101,11,82,-5.44104950630984,106.506788598708,101.065739092398
334,ESP_2019_1,1,4,111,108,4,111,-0.0613315188797827,106.506788598708,106.445457079828
334,ESP_2019_1,1,13,126,108,13,126,2.23957537732977,106.506788598708,108.746363976038
338,ESP_2019_1,1,4,8,98,4,8,-4.05985694560908,102.142000160584,98.0821432149752
338,ESP_2019_1,1,4,116,108,4,116,4.39313015362529,102.142000160584,106.53513031421
34,ESP_2019_1,1,3,111,108,3,111,2.07318799556873,104.826149013904,106.899337009473
34,ESP_2019_1,1,2,48,107,2,48,1.53884279659383,104.826149013904,106.364991810498
345,ESP_2019_1,1,9,66,93,9,66,-7.50018180184287,101.108337640978,93.6081558391353
345,ESP_2019_1,1,5,27,108,5,27,6.57080937773827,101.108337640978,107.679147018716
353,ESP_2019_1,1,7,64,108,7,64,2.56188620998634,105.453292288313,108.0151784983
353,ESP_2019_1,1,7,122,108,7,122,1.81621639103729,105.453292288313,107.269508679351
366,ESP_2019_1,1,1,8,92,1,8,-5.1839721312069,95.5961672316789,90.412195100472
366,ESP_2019_1,1,7,70,93,7,70,-2.47865970667574,95.5961672316789,93.1175075250031
37,ESP_2019_1,1,2,102,98,2,102,-2.26149636444198,100.280104833241,98.0186084687995
37,ESP_2019_1,1,6,29,101,6,29,0.320416040290553,100.280104833241,100.600520873532
378,ESP_2019_1,1,8,108,101,8,108,-2.88907323247983,103.655024678484,100.765951446004
378,ESP_2019_1,1,9,53,108,9,53,5.0705452119346,103.655024678484,108.725569890419
40,ESP_2019_1,1,2,78,108,2,78,5.40042666832738,102.534081734883,107.93450840321
40,ESP_2019_1,1,4,36,108,4,36,4.66656618529041,102.534081734883,107.200647920173
40,ESP_2019_1,1,11,103,101,11,103,-1.81855269427906,102.534081734883,100.715529040604
40,ESP_2019_1,1,3,118,108,3,118,4.3925692454917,102.534081734883,106.926650980375
40,ESP_2019_1,1,8,116,101,8,116,-2.08024225783423,102.534081734883,100.453839477049
40,ESP_2019_1,1,11,57,101,11,57,-0.457351752772823,102.534081734883,102.07672998211
40,ESP_2019_1,1,10,79,94,10,79,-7.82214873264991,102.534081734883,94.711933002233
40,ESP_2019_1,1,6,10,101,6,10,-0.977653174240686,102.534081734883,101.556428560642
40,ESP_2019_1,1,9,20,101,9,20,-0.491402446288262,102.534081734883,102.042679288595
405,ESP_2019_1,1,3,109,98,3,109,-3.55970269094226,100.473036919343,96.9133342284007
405,ESP_2019_1,1,8,7,101,8,7,1.85429392418128,100.473036919343,102.327330843524
409,ESP_2019_1,1,8,82,101,8,82,-0.172398353886095,101.779529264254,101.607130910368
409,ESP_2019_1,1,6,6,101,6,6,0.06290394157989,101.779529264254,101.842433205834
410,ESP_2019_1,1,10,27,101,10,27,-0.568064705513393,103.238812248383,102.670747542869
410,ESP_2019_1,1,4,127,116,4,127,11.7606378261807,103.238812248383,114.999450074563
410,ESP_2019_1,1,7,17,101,7,17,-1.25905189630153,103.238812248383,101.979760352081
410,ESP_2019_1,1,13,33,94,13,33,-8.26046354545328,103.238812248383,94.9783487029294
424,ESP_2019_1,1,1,26,107,1,26,2.28079196402317,103.736332800799,106.017124764822
428,ESP_2019_1,1,10,66,108,10,66,3.48942902781864,105.65281770775,109.142246735569
428,ESP_2019_1,1,13,53,101,13,53,-3.82481760039451,105.65281770775,101.828000107356
428,ESP_2019_1,1,2,32,107,2,32,0.527616665928733,105.65281770775,106.180434373679
428,ESP_2019_1,1,1,103,107,1,103,1.69397958083576,105.65281770775,107.346797288586
428,ESP_2019_1,1,11,73,108,11,73,2.7356204122529,105.65281770775,108.388438120003
43,ESP_2019_1,1,6,69,101,6,69,-2.46791987630213,102.697517770515,100.229597894213
43,ESP_2019_1,1,2,34,107,2,34,3.47977228250011,102.697517770515,106.177290053015
435,ESP_2019_1,1,6,22,108,6,22,-0.0111967094281056,107.874158907295,107.862962197867
435,ESP_2019_1,1,6,76,116,6,76,7.34645080276775,107.874158907295,115.220609710063
440,ESP_2019_1,1,1,118,98,1,118,0.852033823896122,97.6053074724006,98.4573412962967
440,ESP_2019_1,1,3,10,92,3,10,-6.06044864108964,97.6053074724006,91.5448588313109
447,ESP_2019_1,1,9,129,108,9,129,1.92091385932061,104.782303467606,106.703217326926
447,ESP_2019_1,1,12,24,108,12,24,4.15745236367167,104.782303467606,108.939755831277
447,ESP_2019_1,1,13,120,108,13,120,4.02919490463724,104.782303467606,108.811498372243
447,ESP_2019_1,1,8,60,101,8,60,-3.40925265873494,104.782303467606,101.373050808871
447,ESP_2019_1,1,11,67,101,11,67,-3.1398361510617,104.782303467606,101.642467316544
45,ESP_2019_1,1,6,129,101,6,129,-1.43123371340582,101.302042239223,99.8708085258167
45,ESP_2019_1,1,8,23,101,8,23,0.738476490351744,101.302042239223,102.040518729574
457,ESP_2019_1,1,4,9,108,4,9,2.62333702869834,105.390371948069,108.013708976767
457,ESP_2019_1,1,9,120,108,9,120,1.67790674144598,105.390371948069,107.068278689515
46,ESP_2019_1,1,1,58,116,1,58,5.17896314271901,110.121845550558,115.300808693277
46,ESP_2019_1,1,3,101,116,3,101,4.90189860172676,110.121845550558,115.023744152285
462,ESP_2019_1,1,8,100,101,8,100,-0.420411620338072,101.524997464937,101.104585844599
465,ESP_2019_1,1,3,93,116,3,93,6.96650638546387,108.221304029985,115.187810415449
465,ESP_2019_1,1,8,24,108,8,24,0.792794497386666,108.221304029985,109.014098527372
468,ESP_2019_1,1,9,108,93,9,108,-6.41272041658104,98.9479701574884,92.5352497409074
468,ESP_2019_1,1,13,122,101,13,122,2.84440296441881,98.9479701574884,101.792373121907
472,ESP_2019_1,1,10,4,101,10,4,-0.166314879320993,102.130238091121,101.9639232118
472,ESP_2019_1,1,5,45,98,5,45,-4.54572969596717,102.130238091121,97.5845083951535
472,ESP_2019_1,1,11,71,101,11,71,-0.659469974426102,102.130238091121,101.470768116695
472,ESP_2019_1,1,8,103,108,8,103,5.84496066271679,102.130238091121,107.975198753838
472,ESP_2019_1,1,11,16,101,11,16,-0.154540578526678,102.130238091121,101.975697512594
473,ESP_2019_1,1,6,68,108,6,68,4.50938724424672,102.71859829327,107.227985537517
473,ESP_2019_1,1,5,1,98,5,1,-3.47178443162937,102.71859829327,99.246813861641
483,ESP_2019_1,1,2,84,92,2,84,-5.4047611958739,97.3736480948675,91.9688868989936
483,ESP_2019_1,1,1,54,98,1,54,-0.0866315716991011,97.3736480948675,97.2870165231684
488,ESP_2019_1,1,7,127,108,7,127,0.102040187725393,107.108877907773,107.210918095498
488,ESP_2019_1,1,7,48,108,7,48,0.847738819137376,107.108877907773,107.95661672691
488,ESP_2019_1,1,10,51,108,10,51,2.49182184857759,107.108877907773,109.600699756351
488,ESP_2019_1,1,12,61,108,12,61,1.47981129558073,107.108877907773,108.588689203354
488,ESP_2019_1,1,13,93,108,13,93,1.47903131209476,107.108877907773,108.587909219868
489,ESP_2019_1,1,11,49,94,11,49,-5.35256747160881,100.703619810097,95.351052338488
489,ESP_2019_1,1,13,103,101,13,103,1.07743476749637,100.703619810097,101.781054577593
489,ESP_2019_1,1,7,26,101,7,26,0.875595486268324,100.703619810097,101.579215296365
489,ESP_2019_1,1,10,68,101,10,68,1.37136172544598,100.703619810097,102.074981535543
489,ESP_2019_1,1,8,95,101,8,95,0.60442971943796,100.703619810097,101.308049529535
49,ESP_2019_1,1,4,41,98,4,41,-4.55701186670494,101.806311813073,97.2492999463682
49,ESP_2019_1,1,13,128,101,13,128,-0.0857410041263478,101.806311813073,101.720570808947
49,ESP_2019_1,1,1,70,107,1,70,4.56597403797436,101.806311813073,106.372285851048
491,ESP_2019_1,1,6,62,101,6,62,-0.997060289762928,101.214871108093,100.21781081833
491,ESP_2019_1,1,11,84,101,11,84,-0.207241574502845,101.214871108093,101.00762953359
491,ESP_2019_1,1,13,41,101,13,41,0.720958755534525,101.214871108093,101.935829863628
491,ESP_2019_1,1,10,7,101,10,7,0.846904370338876,101.214871108093,102.061775478432
491,ESP_2019_1,1,8,127,101,8,127,-1.16280028687474,101.214871108093,100.052070821218
5,ESP_2019_1,1,2,21,98,2,21,-2.5245129892691,99.8024787572433,97.2779657679742
50,ESP_2019_1,1,7,89,93,7,89,-4.71459390654978,97.8303150311152,93.1157211245654
50,ESP_2019_1,1,5,37,98,5,37,-0.236502204633524,97.8303150311152,97.5938128264817
50,ESP_2019_1,1,13,39,94,13,39,-2.88214686466084,97.8303150311152,94.9481681664543
50,ESP_2019_1,1,11,101,101,11,101,2.8996807394647,97.8303150311152,100.72999577058
508,ESP_2019_1,1,8,92,93,8,92,-1.93022824640727,95.3429876865425,93.4127594401353
508,ESP_2019_1,1,13,10,94,13,10,-0.261782684442068,95.3429876865425,95.0812050021005
508,ESP_2019_1,1,11,87,94,11,87,-1.41283273913042,95.3429876865425,93.9301549474121
508,ESP_2019_1,1,1,43,92,1,43,-4.11930711662706,95.3429876865425,91.2236805699155
508,ESP_2019_1,1,10,8,94,10,8,-0.247746445681869,95.3429876865425,95.0952412408607
51,ESP_2019_1,1,1,125,98,1,125,-1.89107481405779,100.259141702761,98.3680668887034
51,ESP_2019_1,1,12,48,101,12,48,1.71734882871895,100.259141702761,101.97649053148
51,ESP_2019_1,1,13,98,94,13,98,-5.56965523717366,100.259141702761,94.6894864655875
51,ESP_2019_1,1,7,27,101,7,27,1.2780476706458,100.259141702761,101.537189373407
51,ESP_2019_1,1,10,40,101,10,40,2.49864621901112,100.259141702761,102.757787921772
515,ESP_2019_1,1,5,91,98,5,91,-1.32074799650363,98.1515556528043,96.8308076563006
515,ESP_2019_1,1,3,61,92,3,61,-6.65887379667217,98.1515556528043,91.4926818561321
515,ESP_2019_1,1,10,9,101,10,9,3.97701174578323,98.1515556528043,102.128567398587
515,ESP_2019_1,1,11,90,101,11,90,2.71422003955487,98.1515556528043,100.865775692359
515,ESP_2019_1,1,13,46,94,13,46,-3.25276846024975,98.1515556528043,94.8987871925545
52,ESP_2019_1,1,10,77,94,10,77,-4.62796584988217,99.404799989788,94.7768341399058
52,ESP_2019_1,1,7,94,101,7,94,1.56776391103085,99.404799989788,100.972563900819
52,ESP_2019_1,1,2,3,98,2,3,-2.00334494393549,99.404799989788,97.4014550458525
52,ESP_2019_1,1,13,82,101,13,82,2.05325894357952,99.404799989788,101.458058933368
522,ESP_2019_1,1,5,117,98,5,117,-0.908778892165031,97.6483731792474,96.7395942870824
522,ESP_2019_1,1,8,46,93,8,46,-4.24703004485724,97.6483731792474,93.4013431343902
526,ESP_2019_1,1,7,93,101,7,93,-2.34293288264446,103.347823595879,101.004890713234
526,ESP_2019_1,1,4,62,108,4,62,4.14915075567946,103.347823595879,107.496974351558
533,ESP_2019_1,1,6,65,101,6,65,-0.0648568952565825,100.28666667862,100.221809783364
533,ESP_2019_1,1,9,91,101,9,91,0.903109337973873,100.28666667862,101.189776016594
533,ESP_2019_1,1,13,20,101,13,20,1.75297737042833,100.28666667862,102.039644049049
533,ESP_2019_1,1,10,39,94,10,39,-4.52429467262758,100.28666667862,95.7623720059926
543,ESP_2019_1,1,1,45,98,1,45,-2.54637654226588,99.7845801998783,97.2382036576124
546,ESP_2019_1,1,3,50,108,3,50,1.98968113031324,105.201352932034,107.191034062347
546,ESP_2019_1,1,7,121,108,7,121,2.08067099922529,105.201352932034,107.282023931259
548,ESP_2019_1,1,12,87,101,12,87,-1.36174980819919,102.232860559345,100.871110751146
548,ESP_2019_1,1,11,53,108,11,53,6.99493181157099,102.232860559345,109.227792370916
548,ESP_2019_1,1,5,49,98,5,49,-4.65551938536368,102.232860559345,97.5773411739818
548,ESP_2019_1,1,10,45,101,10,45,0.477866597930202,102.232860559345,102.710727157276
548,ESP_2019_1,1,7,78,101,7,78,-1.01126766941441,102.232860559345,101.221592889931
549,ESP_2019_1,1,5,9,98,5,9,-0.72641548806358,99.3017785559412,98.5753630678776
549,ESP_2019_1,1,4,125,98,4,125,-2.40971581006814,99.3017785559412,96.8920627458731
55,ESP_2019_1,1,10,110,101,10,110,1.49799705458229,99.3093731944361,100.807370249018
55,ESP_2019_1,1,2,61,98,2,61,-1.61012309750538,99.3093731944361,97.6992500969307
55,ESP_2019_1,1,12,73,94,12,73,-5.14936681530983,99.3093731944361,94.1600063791262
55,ESP_2019_1,1,12,65,101,12,65,2.13463860840363,99.3093731944361,101.44401180284
56,ESP_2019_1,1,6,43,101,6,43,0.154367179671652,100.166879328013,100.321246507684
56,ESP_2019_1,1,2,117,98,2,117,-2.23375540113967,100.166879328013,97.9331239268731
560,ESP_2019_1,1,2,69,98,2,69,-1.40726194033286,99.2554946847333,97.8482327444005
560,ESP_2019_1,1,4,58,98,4,58,-1.78540630937624,99.2554946847333,97.4700883753571
562,ESP_2019_1,1,1,128,92,1,128,-6.32318347720617,98.6351095479712,92.311926070765
562,ESP_2019_1,1,6,19,101,6,19,2.37269865941273,98.6351095479712,101.007808207384
564,ESP_2019_1,1,3,110,108,3,110,2.76925302770466,104.136210550319,106.905463578024
565,ESP_2019_1,1,2,23,107,2,23,1.43446240459079,104.819509081489,106.25397148608
565,ESP_2019_1,1,1,92,107,1,92,2.16945753755817,104.819509081489,106.988966619047
567,ESP_2019_1,1,10,64,101,10,64,-1.99733418770803,104.207302130924,102.209967943216
567,ESP_2019_1,1,11,92,108,11,92,3.62278806011638,104.207302130924,107.830090191041
567,ESP_2019_1,1,4,15,108,4,15,3.44058498355886,104.207302130924,107.647887114483
567,ESP_2019_1,1,12,47,101,12,47,-2.20994561491517,104.207302130924,101.997356516009
57,ESP_2019_1,1,12,68,108,12,68,5.28095783418354,103.05345398134,108.334411815523
57,ESP_2019_1,1,5,68,108,5,68,4.42364882713459,103.05345398134,107.477102808474
57,ESP_2019_1,1,10,38,94,10,38,-7.28842137124425,103.05345398134,95.7650326100955
57,ESP_2019_1,1,12,35,101,12,35,-0.969547551731907,103.05345398134,102.083906429608
570,ESP_2019_1,1,1,76,116,1,76,7.47507965169061,107.988626842932,115.463706494623
575,ESP_2019_1,1,2,115,92,2,115,-3.73362643544478,95.675561363325,91.9419349278802
575,ESP_2019_1,1,3,3,92,3,3,-3.83202340721422,95.675561363325,91.8435379561108
577,ESP_2019_1,1,9,32,101,9,32,1.4768249215817,100.540409259069,102.017234180651
577,ESP_2019_1,1,4,71,98,4,71,-3.09993662439013,100.540409259069,97.4404726346789
58,ESP_2019_1,1,5,69,108,5,69,1.72600472580794,105.737303228919,107.463307954727
58,ESP_2019_1,1,8,33,108,8,33,2.99902462048105,105.737303228919,108.7363278494
582,ESP_2019_1,1,3,44,108,3,44,1.67530563850923,105.359283542844,107.034589181354
582,ESP_2019_1,1,2,125,108,2,125,2.58796283667942,105.359283542844,107.947246379524
584,ESP_2019_1,1,6,115,108,6,115,3.77886942901995,102.827341167053,106.606210596072
584,ESP_2019_1,1,6,63,101,6,63,-2.60843436989956,102.827341167053,100.218906797153
587,ESP_2019_1,1,4,110,108,4,110,2.51165356321243,103.925327223484,106.436980786696
592,ESP_2019_1,1,1,119,98,1,119,-3.58798615082482,102.037078973058,98.4490928222331
592,ESP_2019_1,1,10,73,101,10,73,-0.128859170058803,102.037078973058,101.908219802999
592,ESP_2019_1,1,12,85,101,12,85,-1.14869806623059,102.037078973058,100.888380906827
592,ESP_2019_1,1,4,63,108,4,63,5.46263502752545,102.037078973058,107.499714000583
592,ESP_2019_1,1,11,6,101,11,6,-0.391982389812654,102.037078973058,101.645096583245
6,ESP_2019_1,1,4,23,108,4,23,1.6014754340015,105.713954323896,107.315429757897
6,ESP_2019_1,1,9,119,108,9,119,1.39446830207743,105.713954323896,107.108422625973
6,ESP_2019_1,1,1,122,107,1,122,1.70056431589755,105.713954323896,107.414518639793
601,ESP_2019_1,1,12,30,101,12,30,-0.780702923952163,102.81528731288,102.034584388927
601,ESP_2019_1,1,2,12,107,2,12,3.55623792583073,102.81528731288,106.37152523871
601,ESP_2019_1,1,11,102,101,11,102,-2.09260197008848,102.81528731288,100.722685342791
601,ESP_2019_1,1,7,65,101,7,65,-1.78463901410132,102.81528731288,101.030648298778
601,ESP_2019_1,1,8,126,108,8,126,4.27265638605714,102.81528731288,107.087943698937
601,ESP_2019_1,1,10,42,101,10,42,-0.0712120414931832,102.81528731288,102.744075271386
601,ESP_2019_1,1,5,55,108,5,55,4.74865920587388,102.81528731288,107.563946518753
601,ESP_2019_1,1,1,123,98,1,123,-4.41481111456582,102.81528731288,98.4004761983137
601,ESP_2019_1,1,7,107,101,7,107,-2.27787549058627,102.81528731288,100.537411822293
603,ESP_2019_1,1,6,90,108,6,90,4.84920671781565,102.116221508263,106.965428226078
603,ESP_2019_1,1,5,53,98,5,53,-4.54742280358575,102.116221508263,97.568798704677
61,ESP_2019_1,1,3,129,98,3,129,-3.21621800606918,100.469918172798,97.2537001667284
61,ESP_2019_1,1,9,35,101,9,35,1.50699960934868,100.469918172798,101.976917782146
629,ESP_2019_1,1,4,77,92,4,77,-4.75317529934041,96.0540839699,91.3009086705596
629,ESP_2019_1,1,9,55,93,9,55,-2.35009934175589,96.0540839699,93.7039846281441
639,ESP_2019_1,1,12,17,101,12,17,2.33692289129868,99.4731098963734,101.810032787672
639,ESP_2019_1,1,7,12,93,7,12,-5.26376850426824,99.4731098963734,94.2093413921052
65,ESP_2019_1,1,2,112,98,2,112,-3.72417745237289,101.685515387495,97.9613379351224
65,ESP_2019_1,1,12,13,108,12,13,7.05102519301835,101.685515387495,108.736540580514
65,ESP_2019_1,1,3,36,108,3,36,5.23381268175035,101.685515387495,106.919328069246
65,ESP_2019_1,1,1,67,107,1,67,4.65943216025659,101.685515387495,106.344947547752
65,ESP_2019_1,1,4,113,108,4,113,4.78615539254733,101.685515387495,106.471670780043
65,ESP_2019_1,1,8,12,101,8,12,0.577638185217708,101.685515387495,102.263153572713
65,ESP_2019_1,1,8,26,101,8,26,0.272577333916416,101.685515387495,101.958092721412
65,ESP_2019_1,1,4,84,98,4,84,-4.6356449829008,101.685515387495,97.0498704045944
65,ESP_2019_1,1,8,34,101,8,34,0.0180417942655424,101.685515387495,101.703557181761
65,ESP_2019_1,1,8,3,101,8,3,0.682441579110432,101.685515387495,102.367956966606
65,ESP_2019_1,1,11,75,94,11,75,-7.37600806265058,101.685515387495,94.3095073248447
65,ESP_2019_1,1,7,31,108,7,31,6.69276960866304,101.685515387495,108.378284996158
65,ESP_2019_1,1,1,7,107,1,7,3.6801021879845,101.685515387495,105.36561757548
65,ESP_2019_1,1,4,79,98,4,79,-4.44814225822876,101.685515387495,97.2373731292665
65,ESP_2019_1,1,8,55,101,8,55,-0.343885134001823,101.685515387495,101.341630253493
65,ESP_2019_1,1,4,53,98,4,53,-4.27406488590815,101.685515387495,97.4114505015871
65,ESP_2019_1,1,11,2,108,11,2,6.83990339780016,101.685515387495,108.525418785295
65,ESP_2019_1,1,6,96,101,6,96,-1.89567606393086,101.685515387495,99.7898393235644
65,ESP_2019_1,1,11,85,101,11,85,-0.705307810373625,101.685515387495,100.980207577122
