Genotype,Envir,Management,Row,Position,Fruit_weight_single,R,P,Fruit_weight_single_spats_residuals,Fruit_weight_single_spats_geno_pred_values,Fruit_weight_single_spats_adj_pheno
2802,BEL_2021_1,1,21,15,169,21,15,-29.1850984868931,196.903422124017,167.718323637124
2802,BEL_2021_1,1,20,111,250,20,111,50.1341074797011,196.903422124017,247.037529603718
2809,BEL_2021_1,1,26,33,141,26,33,0.091591685287284,151.144242709409,151.235834394696
2810,BEL_2021_1,1,26,22,107.5,26,22,-0.00558444000841973,118.535758420718,118.530173980709
2810,BEL_2021_1,1,25,111,109.5,25,111,-14.7660441788216,118.535758420718,103.769714241896
2813,BEL_2021_1,1,20,28,150,20,28,0.25484796134424,151.502411370298,151.757259331643
2817,BEL_2021_1,1,22,61,130.5,22,61,-8.4916901669024,132.313342965226,123.821652798324
2820,BEL_2021_1,1,18,89,178,18,89,-5.53169292944614,183.121247091486,177.589554162039
2820,BEL_2021_1,1,20,7,200,20,7,20.1986710874305,183.121247091486,203.319918178916
2823,BEL_2021_1,1,23,14,214.5,23,14,18.9050447103718,190.443935185871,209.348979896243
2823,BEL_2021_1,1,23,75,197.5,23,75,-0.90032397589718,190.443935185871,189.543611209974
2827,BEL_2021_1,1,23,62,195.7142857,23,62,-5.28038052611396,192.528991263721,187.248610737607
2827,BEL_2021_1,1,26,7,206.6666667,26,7,24.2354872876473,192.528991263721,216.764478551368
2830,BEL_2021_1,1,24,99,161.0526316,24,99,10.0049335767483,141.85836457227,151.863298149018
2830,BEL_2021_1,1,19,40,122.5,19,40,-14.1459229353262,141.85836457227,127.712441636944
2831,BEL_2021_1,1,18,52,155.5,18,52,14.1012021253056,139.74613510724,153.847337232546
2831,BEL_2021_1,1,22,77,125,22,77,-19.2049633684527,139.74613510724,120.541171738788
2836,BEL_2021_1,1,20,62,186,20,62,-15.2339654412031,199.914617805773,184.68065236457
2836,BEL_2021_1,1,21,32,243.3333333,21,32,37.5555026509165,199.914617805773,237.47012045669
2847,BEL_2021_1,1,23,52,164.5,23,52,-5.19820307687607,159.473370059512,154.275166982636
2847,BEL_2021_1,1,17,60,178,17,60,9.08628078247671,159.473370059512,168.559650841989
2848,BEL_2021_1,1,20,16,144.5,20,16,17.7418544936111,129.487198185814,147.229052679425
2848,BEL_2021_1,1,22,87,106,22,87,-27.5217251259363,129.487198185814,101.965473059877
2849,BEL_2021_1,1,21,73,156.25,21,73,2.56531459913469,149.334062156415,151.89937675555
2849,BEL_2021_1,1,24,50,155,24,50,-3.29881837400964,149.334062156415,146.035243782406
2855,BEL_2021_1,1,20,76,116.5,20,76,-1.93321456133675,114.559916874399,112.626702313062
2855,BEL_2021_1,1,21,23,103.8888889,21,23,-14.6506359404256,114.559916874399,99.9092809339732
2856,BEL_2021_1,1,23,12,228,23,12,13.7386165667772,210.241622934607,223.980239501384
2856,BEL_2021_1,1,19,65,223.6363636,19,65,13.2900560912658,210.241622934607,223.531679025873
286,BEL_2021_1,1,20,57,117,20,57,-42.8730599544825,159.59133966296,116.718279708477
286,BEL_2021_1,1,19,81,210,19,81,46.8149091935809,159.59133966296,206.406248856541
2862,BEL_2021_1,1,24,81,171,24,81,3.49337877348881,155.165094658391,158.65847343188
2862,BEL_2021_1,1,26,3,144,26,3,-1.56904908667806,155.165094658391,153.596045571713
2865,BEL_2021_1,1,17,7,77.5,17,7,-24.1551456410448,112.412705247668,88.2575596066231
2865,BEL_2021_1,1,18,67,121.5,18,67,6.5925780923595,112.412705247668,119.005283340027
2872,BEL_2021_1,1,23,60,150,23,60,-0.640846113567676,141.91267286104,141.271826747472
2872,BEL_2021_1,1,25,28,134,25,28,-3.47538907204165,141.91267286104,138.437283788998
29,BEL_2021_1,1,18,53,94,18,53,-18.3939502136467,110.588731168458,92.1947809548118
290,BEL_2021_1,1,19,94,240,19,94,25.6290409659696,209.676944514636,235.305985480606
290,BEL_2021_1,1,24,22,213,24,22,1.14224653786968,209.676944514636,210.819191052506
2902,BEL_2021_1,1,22,56,262.5,22,56,39.1940475809755,215.367428679488,254.561476260464
2902,BEL_2021_1,1,26,91,207,26,91,-9.82898972490258,215.367428679488,205.538438954586
2908,BEL_2021_1,1,26,29,108,26,29,5.2895957698089,113.410225912917,118.699821682726
2908,BEL_2021_1,1,23,86,99,23,86,-22.3974850429186,113.410225912917,91.0127408699981
2936,BEL_2021_1,1,18,36,109,18,36,-11.3552516462814,122.252940588945,110.897688942664
2936,BEL_2021_1,1,17,87,118.5,17,87,-1.72205420097332,122.252940588945,120.530886387972
2971,BEL_2021_1,1,22,110,137.5,22,110,-6.30219742773033,137.116880699624,130.814683271894
2974,BEL_2021_1,1,18,9,288.3333333,18,9,44.928471668395,249.512070580336,294.440542248731
2975,BEL_2021_1,1,22,63,129,22,63,-3.52436458804252,126.279014215544,122.754649627502
2975,BEL_2021_1,1,17,29,120,17,29,-7.71782317328797,126.279014215544,118.561191042256
2979,BEL_2021_1,1,25,22,148.5,25,22,8.64341733658532,144.880405176527,153.523822513113
2979,BEL_2021_1,1,25,100,140.5,25,100,-11.406935271732,144.880405176527,133.473469904795
2990,BEL_2021_1,1,18,74,92,18,74,-4.40437545088791,94.5300861864615,90.1257107355736
2990,BEL_2021_1,1,22,14,78.5,22,14,-21.3092396708209,94.5300861864615,73.2208465156406
2992,BEL_2021_1,1,24,43,138,24,43,-6.31858343145419,137.080931374104,130.76234794265
2997,BEL_2021_1,1,20,79,93,20,79,-19.4447067634889,108.283471759952,88.8387649964634
30,BEL_2021_1,1,17,78,177.5,17,78,10.8782088778826,164.394336602153,175.272545480035
30,BEL_2021_1,1,23,45,171,23,45,-4.7471133985969,164.394336602153,159.647223203556
301,BEL_2021_1,1,24,16,81,24,16,-22.1119031192795,102.431897963488,80.319994844208
3010,BEL_2021_1,1,18,65,131.5,18,65,-4.36828910576764,133.301619219434,128.933330113667
3010,BEL_2021_1,1,26,39,120.5,26,39,-3.67293646555342,133.301619219434,129.628682753881
3013,BEL_2021_1,1,18,27,190,18,27,13.4774168890982,180.511463400387,193.988880289485
3026,BEL_2021_1,1,17,97,64.5,17,97,-25.1943028807006,95.6694075922778,70.4751047115772
3042,BEL_2021_1,1,20,90,143,20,90,-3.84570469648492,142.506190889012,138.660486192527
3062,BEL_2021_1,1,21,18,116.6666667,21,18,-11.4720511270281,125.774715968225,114.302664841196
308,BEL_2021_1,1,19,24,144.375,19,24,-0.453260289272805,149.94888957001,149.495629280737
3148,BEL_2021_1,1,25,29,307.5,25,29,50.3638387687347,261.436746328135,311.80058509687
3160,BEL_2021_1,1,24,26,128.5,24,26,-7.99525154931118,133.402481828191,125.40723027888
3172,BEL_2021_1,1,24,111,152.7777778,24,111,-21.4805902635548,166.578015231311,145.097424967756
3172,BEL_2021_1,1,19,55,192.6315789,19,55,28.607024754959,166.578015231311,195.18503998627
3173,BEL_2021_1,1,17,75,219,17,75,-15.4955884701855,230.781745850615,215.28615738043
3173,BEL_2021_1,1,20,46,281.4285714,20,46,51.8866212205121,230.781745850615,282.668367071128
3190,BEL_2021_1,1,26,55,148,26,55,-2.40413551009931,154.924718530451,152.520583020351
3190,BEL_2021_1,1,17,85,158,17,85,4.21889974413401,154.924718530451,159.143618274585
32,BEL_2021_1,1,20,106,125.5555556,20,106,-16.7507028181799,138.835843745822,122.085140927642
32,BEL_2021_1,1,25,75,156.5,25,75,6.75491693146236,138.835843745822,145.590760677285
32,BEL_2021_1,1,23,39,155,23,39,4.47710621541154,138.835843745822,143.312949961234
323,BEL_2021_1,1,24,83,225.8823529,24,83,-5.1755760797472,218.951107768487,213.77553168874
323,BEL_2021_1,1,19,41,250,19,41,36.1741048855122,218.951107768487,255.125212653999
324,BEL_2021_1,1,20,71,100,20,71,-21.982834119906,118.825776493833,96.8429423739269
324,BEL_2021_1,1,18,43,126,18,43,7.3433981683189,118.825776493833,126.169174662152
327,BEL_2021_1,1,22,71,80.5,22,71,-24.4847321496573,100.02122664603,75.5364944963727
327,BEL_2021_1,1,26,46,94,26,46,1.27402484938693,100.02122664603,101.295251495417
330,BEL_2021_1,1,23,113,104,23,113,-8.78028938920603,104.028904183495,95.2486147942887
330,BEL_2021_1,1,21,43,97.5,21,43,-12.6036849166744,104.028904183495,91.4252192668203
333,BEL_2021_1,1,21,40,270,21,40,51.5615655929326,212.229291691827,263.79085728476
333,BEL_2021_1,1,26,106,192.3076923,26,106,-23.6268968643999,212.229291691827,188.602394827427
334,BEL_2021_1,1,24,10,333.3333333,24,10,100.355735547354,234.202954285122,334.558689832476
334,BEL_2021_1,1,24,76,258,24,76,11.1688426636713,234.202954285122,245.371796948793
334,BEL_2021_1,1,21,64,280,21,64,40.9093130333283,234.202954285122,275.11226731845
334,BEL_2021_1,1,20,1,116.5,20,1,-114.48344302969,234.202954285122,119.719511255432
34,BEL_2021_1,1,22,104,150,22,104,-10.1330707537428,154.74420014537,144.611129391628
34,BEL_2021_1,1,25,56,172.5,25,56,11.8655531956329,154.74420014537,166.609753341003
345,BEL_2021_1,1,17,91,76,17,91,-22.3055965434118,102.006953109788,79.7013565663759
353,BEL_2021_1,1,22,89,171.5,22,89,0.283168371253026,167.220308286345,167.503476657598
353,BEL_2021_1,1,20,44,173,20,44,7.13602867520442,167.220308286345,174.35633696155
366,BEL_2021_1,1,26,86,89,26,86,-7.80288136493144,96.1133007840881,88.3104194191566
366,BEL_2021_1,1,21,5,76.5,21,5,-17.1890912803934,96.1133007840881,78.9242095036947
37,BEL_2021_1,1,25,38,158.3333333,25,38,3.0170306286573,157.562376052691,160.579406681348
378,BEL_2021_1,1,20,49,107.5,20,49,-14.374384445087,122.845447427994,108.471062982907
378,BEL_2021_1,1,26,72,123.5,26,72,1.5671481785744,122.845447427994,124.412595606569
40,BEL_2021_1,1,20,61,62,20,61,-23.1257732102944,84.022282900652,60.8965096903576
40,BEL_2021_1,1,18,34,93,18,34,11.3723971933031,84.022282900652,95.3946800939551
40,BEL_2021_1,1,21,46,73,21,46,-16.9004290414126,84.022282900652,67.1218538592393
40,BEL_2021_1,1,20,101,86,20,101,-1.84935482615333,84.022282900652,82.1729280744986
405,BEL_2021_1,1,26,99,114.5,26,99,-19.1189628487243,130.944470212507,111.825507363783
405,BEL_2021_1,1,23,58,150,23,58,10.0033290139151,130.944470212507,140.947799226422
409,BEL_2021_1,1,21,67,112,21,67,-10.2221951906196,117.489132641725,107.266937451106
409,BEL_2021_1,1,17,23,110.5,17,23,-5.02649422598985,117.489132641725,112.462638415735
410,BEL_2021_1,1,19,43,119.5,19,43,-42.5074456155722,166.919183130877,124.411737515305
410,BEL_2021_1,1,23,108,225,23,108,49.7893872936046,166.919183130877,216.708570424482
424,BEL_2021_1,1,22,28,119.5,22,28,-11.2700253671347,119.81204508217,108.542019715035
424,BEL_2021_1,1,21,87,120,21,87,-2.91986109979355,119.81204508217,116.892183982376
440,BEL_2021_1,1,25,117,140,25,117,-6.47358893522502,141.102334012251,134.628745077026
440,BEL_2021_1,1,20,55,143,20,55,1.98799451402857,141.102334012251,143.09032852628
447,BEL_2021_1,1,21,70,145,21,70,-36.0998274112613,176.54256441902,140.442737007758
447,BEL_2021_1,1,17,48,234,17,48,47.7681868966917,176.54256441902,224.310751315711
45,BEL_2021_1,1,24,30,173,24,30,-34.818274327665,203.811169415749,168.992895088084
45,BEL_2021_1,1,21,78,266.6666667,21,78,58.9158924031029,203.811169415749,262.727061818852
457,BEL_2021_1,1,22,44,158,22,44,-1.22124301688308,148.26400889174,147.042765874857
46,BEL_2021_1,1,23,2,105,23,2,-10.0552635298573,117.833227739992,107.777964210135
46,BEL_2021_1,1,24,116,120,24,116,-5.03658445843452,117.833227739992,112.796643281558
462,BEL_2021_1,1,20,85,178.5,20,85,7.24670089431473,166.84186822074,174.088569115055
465,BEL_2021_1,1,22,72,132.2222222,22,72,-8.48966560202803,135.856689628615,127.367024026587
465,BEL_2021_1,1,18,10,131.4285714,18,10,1.61306252735432,135.856689628615,137.469752155969
468,BEL_2021_1,1,26,19,131,26,19,-2.79920489131018,144.802111406701,142.002906515391
472,BEL_2021_1,1,24,107,158.5,24,107,12.6521604272292,137.734906417841,150.38706684507
472,BEL_2021_1,1,25,37,116.5,25,37,-18.672656555318,137.734906417841,119.062249862523
473,BEL_2021_1,1,18,49,253.3333333,18,49,31.7048193311993,220.500641653517,252.205460984716
483,BEL_2021_1,1,25,30,139,25,30,23.2132723843939,119.936149844891,143.149422229285
483,BEL_2021_1,1,20,78,86.66666667,20,78,-37.3465908608327,119.936149844891,82.5895589840585
488,BEL_2021_1,1,18,23,118.5,18,23,-8.68291269178987,131.893819028229,123.21090633644
49,BEL_2021_1,1,18,56,113,18,56,-10.7466484311041,121.558118412816,110.811469981712
49,BEL_2021_1,1,23,61,127.5,23,61,-2.64736318464193,121.558118412816,118.910755228174
491,BEL_2021_1,1,23,31,155.5,23,31,0.268406366098134,144.157393626422,144.42579999252
491,BEL_2021_1,1,17,90,137.5,17,90,-3.36147902254078,144.157393626422,140.795914603881
50,BEL_2021_1,1,19,85,228,19,85,28.1983559654467,195.633306282568,223.831662248015
50,BEL_2021_1,1,17,6,176.5,17,6,-7.82827641308933,195.633306282568,187.805029869479
508,BEL_2021_1,1,18,77,152,18,77,-0.137790590619147,150.640999927095,150.503209336476
51,BEL_2021_1,1,26,49,260.9090909,26,49,-1.59208706132853,268.890544632842,267.298457571513
51,BEL_2021_1,1,20,96,328.3333333,20,96,55.3534295387455,268.890544632842,324.243974171587
515,BEL_2021_1,1,23,43,194,23,43,-7.51093993483903,189.975877611765,182.464937676926
515,BEL_2021_1,1,25,102,222,25,102,25.3023161060598,189.975877611765,215.278193717825
52,BEL_2021_1,1,21,109,140,21,109,-4.74606118905174,140.53089482656,135.784833637508
522,BEL_2021_1,1,24,12,156,24,12,1.749708723216,154.781992959611,156.531701682827
526,BEL_2021_1,1,22,64,145,22,64,-3.75363331253777,142.708186702533,138.954553389995
533,BEL_2021_1,1,21,94,109,21,94,-10.1380471738718,116.367207935783,106.229160761911
533,BEL_2021_1,1,24,56,121,24,56,-5.62202492220887,116.367207935783,110.745183013574
543,BEL_2021_1,1,26,78,102.8571429,26,78,2.22352196213473,100.903537024481,103.127058986615
543,BEL_2021_1,1,24,11,75,24,11,-25.0320648006837,100.903537024481,75.871472223797
546,BEL_2021_1,1,26,2,110,26,2,-6.38295418284672,125.84501557989,119.462061397043
546,BEL_2021_1,1,24,110,128.5714286,24,110,-5.05705379227575,125.84501557989,120.787961787614
548,BEL_2021_1,1,18,86,222,18,86,10.1794232748898,211.234461692399,221.413884967288
548,BEL_2021_1,1,23,1,225,23,1,17.3017936060888,211.234461692399,228.536255298487
549,BEL_2021_1,1,23,33,134.4444444,23,33,-8.71879499474662,131.815096686216,123.096301691469
55,BEL_2021_1,1,25,62,125,25,62,-10.765601228789,127.32459950195,116.558998273161
560,BEL_2021_1,1,23,41,306.25,23,41,44.9791776032282,249.623314553413,294.602492156641
562,BEL_2021_1,1,26,40,143,26,40,4.15588177724899,147.74167035216,151.897552129409
562,BEL_2021_1,1,26,111,146.6666667,26,111,-5.61521107616815,147.74167035216,142.126459275992
564,BEL_2021_1,1,23,29,211.1111111,23,29,15.4831551135349,184.911861298052,200.395016411587
567,BEL_2021_1,1,18,30,134.5,18,30,-9.33625046583009,147.180445892352,137.844195426522
567,BEL_2021_1,1,19,116,154.5,19,116,7.62111035668326,147.180445892352,154.801556249036
57,BEL_2021_1,1,24,60,168,24,60,1.89038671412095,155.090627021565,156.981013735686
570,BEL_2021_1,1,20,84,120,20,84,16.5803871102388,99.0202157397766,115.600602850015
570,BEL_2021_1,1,20,2,55.5,20,2,-40.2473635671725,99.0202157397766,58.7728521726041
575,BEL_2021_1,1,21,99,167,21,99,1.93974684077156,162.061860806276,164.001607647048
575,BEL_2021_1,1,26,13,154.5,26,13,3.1281866313135,162.061860806276,165.19004743759
577,BEL_2021_1,1,22,98,141,22,98,-43.8242861150135,180.383541196055,136.559255081041
577,BEL_2021_1,1,22,16,244,22,16,57.2433949917576,180.383541196055,237.626936187812
58,BEL_2021_1,1,20,89,116.6666667,20,89,-12.0995819043713,124.397973440362,112.298391535991
582,BEL_2021_1,1,26,75,113.5,26,75,-1.39042415658112,115.466240879114,114.075816722533
582,BEL_2021_1,1,18,26,96.5,18,26,-14.7803162714432,115.466240879114,100.685924607671
584,BEL_2021_1,1,22,75,185,22,75,9.2252572865697,171.182631777427,180.407889063997
587,BEL_2021_1,1,17,50,263.8888889,17,50,27.3838236768717,226.509553151969,253.893376828841
587,BEL_2021_1,1,21,108,237.6470588,21,108,7.05990785272161,226.509553151969,233.569461004691
592,BEL_2021_1,1,20,107,160,20,107,-8.87556657415621,165.493011089847,156.617444515691
592,BEL_2021_1,1,22,39,192.6666667,22,39,15.5074470886663,165.493011089847,181.000458178514
6,BEL_2021_1,1,21,55,222.5,21,55,11.3122882756382,205.861671960245,217.173960235883
6,BEL_2021_1,1,19,67,155.5,19,67,-50.983592455049,205.861671960245,154.878079505196
6,BEL_2021_1,1,23,24,280,23,24,64.7035584919454,205.861671960245,270.56523045219
601,BEL_2021_1,1,18,102,108.5,18,102,-16.6809165056805,126.284542934591,109.60362642891
601,BEL_2021_1,1,21,58,130.5555556,21,58,-0.903755739970592,126.284542934591,125.38078719462
601,BEL_2021_1,1,23,73,135,23,73,0.780629819554832,126.284542934591,127.065172754145
601,BEL_2021_1,1,25,58,127,25,58,-6.09903151484613,126.284542934591,120.185511419744
601,BEL_2021_1,1,22,73,141,22,73,9.95747009963512,126.284542934591,136.242013034226
601,BEL_2021_1,1,19,46,123.5,19,46,1.70593611643419,126.284542934591,127.990479051025
603,BEL_2021_1,1,22,38,123.5,22,38,-12.2684879642349,124.027409693971,111.758921729736
61,BEL_2021_1,1,24,103,129.5,24,103,2.60697620626202,118.283772997449,120.890749203711
61,BEL_2021_1,1,21,19,103.5,21,19,-17.4934618919311,118.283772997449,100.790311105518
629,BEL_2021_1,1,22,88,159.5,22,88,1.4230321258847,154.065295738309,155.488327864194
639,BEL_2021_1,1,20,102,132,20,102,-7.11001364504637,135.344609153383,128.234595508337
65,BEL_2021_1,1,26,16,136.5,26,16,3.52793207582656,143.858373611162,147.386305686989
65,BEL_2021_1,1,25,31,112.5,25,31,-27.376144827924,143.858373611162,116.482228783239
65,BEL_2021_1,1,24,47,186.5,24,47,34.3911267465108,143.858373611162,178.249500357673
65,BEL_2021_1,1,17,33,165,17,33,17.4855755937429,143.858373611162,161.343949204905
65,BEL_2021_1,1,26,73,157,26,73,13.9358282292524,143.858373611162,157.794201840415
65,BEL_2021_1,1,23,30,164,23,30,9.23572060379243,143.858373611162,153.094094214955
65,BEL_2021_1,1,24,1,114.5,24,1,-24.4347162912091,143.858373611162,119.423657319953
65,BEL_2021_1,1,26,101,125,26,101,-21.8198675631776,143.858373611162,122.038506047985
65,BEL_2021_1,1,24,89,146.5,24,89,-8.42470321571591,143.858373611162,135.433670395447
65,BEL_2021_1,1,17,46,253.75,17,46,100.657343814138,143.858373611162,244.515717425301
65,BEL_2021_1,1,21,41,114.5,21,41,-35.5332575437661,143.858373611162,108.325116067396
65,BEL_2021_1,1,23,100,127,23,100,-24.6726979827549,143.858373611162,119.185675628408
65,BEL_2021_1,1,26,117,137.5,26,117,-12.0256385942233,143.858373611162,131.832735016939
65,BEL_2021_1,1,24,106,135,24,106,-17.0886291309141,143.858373611162,126.769744480248
65,BEL_2021_1,1,25,110,159.5,25,110,9.83090428944155,143.858373611162,153.689277900604
65,BEL_2021_1,1,21,3,137.5,21,3,-3.23083323014606,143.858373611162,140.627540381016
65,BEL_2021_1,1,20,27,125,20,27,-17.0535413354279,143.858373611162,126.804832275735
65,BEL_2021_1,1,23,77,129,23,77,-22.8490625296783,143.858373611162,121.009311081484
65,BEL_2021_1,1,25,86,166.5,25,86,12.8950672837739,143.858373611162,156.753440894936
65,BEL_2021_1,1,18,110,150,18,110,9.32022512413292,143.858373611162,153.178598735295
652,BEL_2021_1,1,19,97,166.6666667,19,97,7.89544068622146,154.248690563281,162.144131249503
652,BEL_2021_1,1,23,18,155,23,18,-6.38881566279312,154.248690563281,147.859874900488
66,BEL_2021_1,1,24,24,90,24,24,-19.9073895332897,107.268389999674,87.3610004663842
662,BEL_2021_1,1,23,102,155,23,102,19.4358266909731,127.668401119956,147.104227810929
662,BEL_2021_1,1,18,58,100,18,58,-30.0447202622054,127.668401119956,97.6236808577508
67,BEL_2021_1,1,23,54,90.5,23,54,-39.7203994404713,120.397612192909,80.677212752438
67,BEL_2021_1,1,21,106,150,21,106,25.7974193679868,120.397612192909,146.195031560896
673,BEL_2021_1,1,25,34,70.5,25,34,-24.1314278700959,98.0012537450624,73.8698258749664
676,BEL_2021_1,1,22,49,132.5,22,49,4.57593222804506,118.094811599872,122.670743827917
676,BEL_2021_1,1,20,94,102.7272727,20,94,-19.5485481016834,118.094811599872,98.5462634981888
68,BEL_2021_1,1,22,115,66.5,22,115,-30.5780060317103,89.1587140582673,58.580708026557
68,BEL_2021_1,1,20,48,90.5,20,48,2.41607449731785,89.1587140582673,91.5747885555851
681,BEL_2021_1,1,17,64,136,17,64,-7.29523361968745,134.938254237729,127.643020618042
691,BEL_2021_1,1,20,98,150,20,98,-9.50836252558355,155.516398807141,146.008036281557
691,BEL_2021_1,1,25,13,161.5,25,13,11.5928195863129,155.516398807141,167.109218393454
71,BEL_2021_1,1,26,114,176,26,114,13.4490836351897,157.46276170084,170.91184533603
71,BEL_2021_1,1,20,40,145.5,20,40,-10.4774580625881,157.46276170084,146.985303638252
72,BEL_2021_1,1,19,10,196.6666667,19,10,15.5012459005916,184.95155075521,200.452796655802
722,BEL_2021_1,1,19,112,135,19,112,-5.35038519144933,139.20506574415,133.854680552701
737,BEL_2021_1,1,17,26,252,17,26,3.47206025027225,248.793952205565,252.266012455838
737,BEL_2021_1,1,19,115,290,19,115,41.1290870471354,248.793952205565,289.923039252701
739,BEL_2021_1,1,18,71,225,18,71,38.7870861895823,184.009295650522,222.796381840104
739,BEL_2021_1,1,22,17,223.5,22,17,32.6016667898683,184.009295650522,216.61096244039
739,BEL_2021_1,1,17,102,175,17,102,-1.30241995836661,184.009295650522,182.706875692155
739,BEL_2021_1,1,17,55,225,17,55,30.8576055050179,184.009295650522,214.86690115554
739,BEL_2021_1,1,18,85,93.5,18,85,-91.1616201829003,184.009295650522,92.8476754676215
739,BEL_2021_1,1,22,83,189,22,83,0.815184112195794,184.009295650522,184.824479762718
739,BEL_2021_1,1,20,87,171,20,87,-17.4157025525781,184.009295650522,166.593593097944
739,BEL_2021_1,1,17,77,194.5,17,77,7.76546296898482,184.009295650522,191.774758619507
739,BEL_2021_1,1,26,47,146,26,47,-31.0098761410182,184.009295650522,152.999419509504
739,BEL_2021_1,1,17,51,183,17,51,-11.1027727208619,184.009295650522,172.90652292966
739,BEL_2021_1,1,22,66,224,22,66,34.3115130721878,184.009295650522,218.32080872271
739,BEL_2021_1,1,20,75,232,20,75,44.2372261995463,184.009295650522,228.246521850068
739,BEL_2021_1,1,18,41,227,18,41,43.6416563526019,184.009295650522,227.650952003124
739,BEL_2021_1,1,21,61,191.5,21,61,2.4593388491399,184.009295650522,186.468634499662
739,BEL_2021_1,1,24,40,186.6666667,24,40,-3.80254683878115,184.009295650522,180.206748811741
739,BEL_2021_1,1,19,9,178.5,19,9,-1.8541482702253,184.009295650522,182.155147380296
739,BEL_2021_1,1,24,4,117.6470588,24,4,-62.7558952439073,184.009295650522,121.253400406614
74,BEL_2021_1,1,19,30,240.5,19,30,30.0248010531645,215.893111428897,245.917912482062
74,BEL_2021_1,1,21,77,219.5,21,77,-0.420132596201256,215.893111428897,215.472978832696
740,BEL_2021_1,1,22,102,161.4285714,22,102,-0.711037587446242,157.114159273015,156.403121685569
740,BEL_2021_1,1,23,93,158,23,93,-6.88427001385696,157.114159273015,150.229889259158
740,BEL_2021_1,1,25,46,168.5,25,46,10.4080372670165,157.114159273015,167.522196540031
743,BEL_2021_1,1,23,97,128.5,23,97,-2.28619328313249,123.039129201852,120.752935918719
743,BEL_2021_1,1,19,87,117,19,87,-10.4327612083588,123.039129201852,112.606367993493
748,BEL_2021_1,1,22,50,219,22,50,3.19877698842299,206.230653361517,209.42943034994
748,BEL_2021_1,1,21,113,233,21,113,22.0016621378145,206.230653361517,228.232315499331
75,BEL_2021_1,1,21,38,65,21,38,-25.0225696221599,83.7865386242926,58.7639690021327
75,BEL_2021_1,1,21,92,81,21,92,-5.58804447842087,83.7865386242926,78.1984941458717
764,BEL_2021_1,1,22,90,200,22,90,4.16063375284313,191.848409016429,196.009042769272
764,BEL_2021_1,1,22,41,217.7777778,22,41,14.4842579190521,191.848409016429,206.332666935481
77,BEL_2021_1,1,20,70,233.5,20,70,15.4185404116004,215.102400096302,230.520940507902
77,BEL_2021_1,1,26,57,225,26,57,13.825715196079,215.102400096302,228.928115292381
779,BEL_2021_1,1,21,90,107.5,21,90,-14.5072668936684,119.115742770347,104.608475876678
7828,BEL_2021_1,1,17,95,75,17,95,-9.32782000296075,89.5727493692612,80.2449293663005
7828,BEL_2021_1,1,26,8,54.5,26,8,-24.860760255147,89.5727493692612,64.7119891141143
7828,BEL_2021_1,1,25,18,90.5,25,18,6.2153694868916,89.5727493692612,95.7881188561528
787,BEL_2021_1,1,17,1,142.5,17,1,1.7536547598875,154.790650186791,156.544304946679
8,BEL_2021_1,1,22,15,156.1111111,22,15,-0.209190677740935,150.484354962444,150.275164284703
80,BEL_2021_1,1,25,76,167.5,25,76,13.7217071325228,142.875067456029,156.596774588552
80,BEL_2021_1,1,25,36,134.5,25,36,-5.51992621075897,142.875067456029,137.35514124527
80,BEL_2021_1,1,23,28,141.5,23,28,-11.879348588878,142.875067456029,130.995718867151
81,BEL_2021_1,1,22,91,127,22,91,-28.5679487222194,151.572271053222,123.004322331003
81,BEL_2021_1,1,25,47,181.875,25,47,28.8546393122632,151.572271053222,180.426910365485
810,BEL_2021_1,1,20,18,113.5,20,18,-3.84541211533382,119.880379501944,116.03496738661
810,BEL_2021_1,1,24,80,122,24,80,-10.3133269506152,119.880379501944,109.567052551329
82,BEL_2021_1,1,19,34,82,19,34,-18.3975848123112,105.867205046185,87.4696202338739
82,BEL_2021_1,1,17,83,103.5,17,83,-2.14847656067948,105.867205046185,103.718728485506
89,BEL_2021_1,1,22,86,121.5,22,86,-10.4909509262055,127.92715600676,117.436205080555
9,BEL_2021_1,1,17,22,145,17,22,-1.07114149770769,148.593317273747,147.522175776039
918,BEL_2021_1,1,18,16,198,18,16,16.4790976160076,187.096863927348,203.575961543356
929,BEL_2021_1,1,23,83,149,23,83,-31.6744069787392,172.628101366203,140.953694387464
929,BEL_2021_1,1,17,19,210,17,19,41.5585214127516,172.628101366203,214.186622778955
93,BEL_2021_1,1,20,82,159,20,82,-6.65703926188391,161.316434699458,154.659395437574
93,BEL_2021_1,1,24,35,177.8947368,24,35,11.3852012699537,161.316434699458,172.701635969411
94,BEL_2021_1,1,24,27,165,24,27,3.36161770911318,158.318367161564,161.679984870678
95,BEL_2021_1,1,23,109,181.4285714,23,109,8.84999110737155,164.202695310131,173.052686417502
95,BEL_2021_1,1,18,38,160,18,38,-2.80624733439203,164.202695310131,161.396447975739
950,BEL_2021_1,1,19,42,173.75,19,42,24.7105735135192,154.064644410277,178.775217923796
950,BEL_2021_1,1,24,72,143.3333333,24,72,-23.2878382684075,154.064644410277,130.77680614187
97,BEL_2021_1,1,18,54,187,18,54,25.6965992918733,159.357502019643,185.054101311517
97,BEL_2021_1,1,23,104,145.5,23,104,-21.8613352094854,159.357502019643,137.496166810158
997,BEL_2021_1,1,19,39,71,19,39,-37.0733077828745,113.360103418841,76.2867956359666
